Guid ID,Dialogue/Choice Name,Italian,English,Latin,Spanish

8235d371-a44c-411b-9f94-121f3e39b475,Greeting01,"Buonasera, anche tu in un posto così strano?
Mi sembra di averti già visto.","Good evening, are you also in such a strange place?
I feel like I've seen you before.","Bene vesperi, etiamne in loco tam alieno es?
Sentio ut ante te vidi.","Buenas noches, ¿tú también estás en un lugar tan extraño?
Siento que te he visto antes."
36b2d079-37ae-424a-90af-87f90aac3ecf,_____Greeting01 Choice [1],Continua,Continues,Continues,continúa
c02809ba-7cf6-4058-bef0-01b2de140e76,Greeting02,"Hai voglia di sentire le parole di un vetusto uomo quindi,
non capita spesso di avere visite sai.","Do you want to hear the words of an old man then,
it's not often you have visitors you know.","Visne igitur senex verba audire?
Non saepe visitatores scis.","¿Quieres escuchar las palabras de un anciano entonces?
No es frecuente que tengas visitas, ¿sabes?"
ad4af905-f5f7-41d8-aae0-42fa8720dc23,_____Greeting02 Choice [1],Continua,Continues,Continues,continúa
a8c0a804-0123-4b1b-8115-efe841febaa7,GreetingMultiple03,"Ma ora parlami di te, come ti chiami?","But now tell me about yourself, what's your name?","Sed nunc de te mihi dicas, quod tibi nomen est?","Pero ahora cuéntame de ti, ¿cómo te llamas?"
6035ab5f-91f3-4de2-9252-31954deb9547,_____GreetingMultiple03 Choice [1],"Gaius Octavius, non ti ricordi di me?","Gaius Octavius, don't you remember me?","C. Octavi, non meministi mei?","Cayo Octavio, ¿no te acuerdas de mí?"
48946e9c-a805-4a7c-aa90-abbb2f8fb5d2,_____GreetingMultiple03 Choice [2],Non ricordo di avere un nome.,I don't remember having a name.,Nomen habens non memini.,No recuerdo tener un nombre.
826f8ec0-6bb2-4f5c-9879-4e27c360e382,_____GreetingMultiple03 Choice [3],Penso che prima mi chiamassero Luigina.,I think they called me Luigina before.,Puto me ante Luigina vocasse.,Creo que antes me llamaban Luigina.
838dbeda-193a-4bb8-86f8-2d4ba6c333a4,GreetingEvent04,Mi sembra di aver già sentito questo nome.,I feel like I've heard this name before.,Sentio ut ante hoc nomen audivi.,Siento que he escuchado este nombre antes.
f01d1100-98f5-400d-8a7c-af2d795044cc,_____GreetingEvent04 Choice [1],Tutto bene?,Everything OK?,Bene omnia?,¿Todo bien?
024d842d-7275-466d-bbb7-4227f8d448e7,GreetingEnd01,"Bel nome devo dire, questa conversazione non mi ha soddisfatto.
Torna a parlare con me se dovessi capitare da queste parti, non ho buona memoria.","Nice name I must say, this conversation did not satisfy me.
Come back and talk to me if you happen to be around here, I don't have a good memory.","Nomen lepido dicendum est, colloquium hoc mihi non satisfecit.
Redi et loquere ad me si forte hic sis, non bonam memoriam habeo.","Bonito nombre, debo decir que esta conversación no me satisfizo.
Vuelve y habla conmigo si estás por aquí, no tengo buena memoria."
0071811d-c8e1-4e87-b7e4-35dff6cc0b90,GreetingEnd02,"Fandonie, ti chiami Ottaviano! Ora ti
riconosco, non è la prima volta che parliamo.
Ora vattene, qui il tempo gioca brutti scherzi.
Non vedro il sole di domani, e se lo vedrò non ricorderò di averlo
visto ieri.","Nonsense, your name is Ottaviano! Now you
I recognize, it's not the first time we've spoken.
Now go away, time plays tricks here.
I won't see tomorrow's sun, and if I do I won't remember having it
saw it yesterday.","Ineptias, nomen tuum Ottaviano est! Nunc te
Agnosco, non primum locutus est.
Nunc abi, tempus hic ludit.
Solem cras non videbo, et si non recordor
heri vidi.","¡Tonterías, te llamas Ottaviano! Ahora tu
Lo reconozco, no es la primera vez que hablamos.
Ahora vete, que aquí el tiempo juega una mala pasada.
No veré el sol de mañana, y si lo hago no recordaré haberlo
Lo vi ayer."
