Guid ID,Dialogue/Choice Name,Italian,English,Latin,Spanish

b22c973b-b1ba-438b-9d89-efc494c2aa1b,Start01,"Benvenuto, cosa di porta in queste remote stanze?","Welcome, what do you bring to these remote rooms?","Suscipe, quid affers ad haec remota conclavia?","Bienvenido, ¿qué traes a estas salas remotas?"
f087dee7-fa0f-4ec2-a16f-bd6748264a0d,_____Start01 Choice [1],Non so come sono finito qui.,I don't know how I ended up here.,Nescio quomodo hic finierim.,No sé cómo terminé aquí.
2f3ff5b0-39f4-4fdb-810e-b2cbec8535e7,Start02,"Ancora tu, piacere, non mi sono presentato, il mio nome lo puoi leggere
scritto qui sopra. Dimmi cosa ti trattiene qui con noi.","You again, please, I didn't introduce myself, you can read my name
written above. Tell me what's keeping you here with us.","Tu iterum, quaeso, me non introduxi, nomen meum legere potes
supra scriptum. Dic mihi quid hic te agat nobiscum.","Tú otra vez, por favor, no me presenté, puedes leer mi nombre.
escrito arriba. Dime qué te mantiene aquí con nosotros."
93ec6150-bb9e-4ead-8717-a2b1c272aaa6,_____Start02 Choice [1],Che intendi?,What do you mean?,Quid istuc est?,¿Qué quieres decir?
c01be964-9803-45d7-a72f-99b7730f349d,Single01,Sono felice tu abbia scelto me come tuo primo interlocutore in queste oscure stanze.,I'm glad you chose me as your first interlocutor in these dark rooms.,Gaudeo te me in his obscuris cubiculis primum interlocutorem elegisse.,Me alegra que me hayas elegido como tu primer interlocutor en estos cuartos oscuros.
b51c52d5-b40b-4dbc-96eb-ce3ecde51e6a,_____Single01 Choice [1],Grazie Cesare.,Thanks Cesare.,Deo gratias Cesari.,Gracias César.
c309ae6c-8699-4310-887f-ca9344df2c82,Single02,"Vedo che ti sei già intrattenuto con alcuni dei miei colleghi, questo mi lusinga.
Vedrò di ricordare questo tuo atteggiamento.","I see that you have already met with some of my colleagues, this flatters me.
I'll try to remember this attitude of yours.","Video te iam cum quibusdam collegis convenire, hoc mihi blanditur.
Experiar huius habitus tui meminisse.","Veo que ya te has reunido con algunos de mis compañeros, esto me halaga.
Intentaré recordar esta actitud tuya."
e27295d4-99ba-4bc8-96cf-a403b3b796dc,_____Single02 Choice [1],Continua.,Continues.,Prosequitur.,Continúa.
b862e790-a5a6-4bfb-885b-4a9850cdf8ce,Multiple01,Dove pensi di essere?,Where do you think you are?,Ubi te esse putas?,¿Dónde crees que estás?
67a5d88d-ff5d-4551-ab7b-a1428b0449dc,_____Multiple01 Choice [1],"Non ne ho idea, non so nemmeno come mi chiamo.","I have no idea, I don't even know my name.","Nescio, nomen ne novi quidem.","No tengo idea, ni siquiera sé mi nombre."
eafddc9f-7802-4cb4-ba4a-7f780d0e50e7,_____Multiple01 Choice [2],Perchè non me lo dici tu dove ci troviamo?,Why don't you tell me where we are?,Cur non indicas ubi sumus?,¿Por qué no me dices dónde estamos?
