Guid ID,Dialogue/Choice Name,Italian,English,Latin,Spanish

06e1e962-9315-49f2-a1cf-0c32f0473545,Start01,"Ti saluto, anche tu qui quindi. Quante volte hai già ricominciato?","Hello, you're here too. How many times have you already started over?","Salve, tu hic quoque es. Quotiens iam coepi per?","Hola, hic quoque es. Cocientes iam coepi per?"
eb9541f5-a6bf-42b5-8c05-f806e202ab40,_____Start01 Choice [1],Che intendi?,What do you mean?,Quid istuc est?,¿Qué es esto?
3b45ded7-98d0-4908-b7c9-6088c47adaa9,Start02,"Oh eccoti, ti stavo cercando, ti sei perso le mie splendide animazioni di camminata ieri.
Erano proprio fantastiche.","Oh there you are, I was looking for you, you missed my gorgeous walking animations yesterday.
They were just fantastic.","Oh illic es, quaerebam te, desiderabas ambulans animationes meas splendidis heri.
Mox phantastici erant.","Oh illic es, quaerebam te, desibas ambulans animaciones meas splendidis heri.
Mox phantastici eranant."
b84b7b93-8f77-4439-a658-9e9e1efff514,_____Start02 Choice [1],Non capisco nulla di quel che dici.,I don't understand anything you say.,Non intellego quod dicis.,No entiendo lo que dices.
8496f2a6-75c4-4c86-b1fa-c1156126797e,Multiple01,"Dai dimmi qualcosa, vediamo cosa accadrà.","Come on, tell me something, let's see what will happen.","Age, dic aliquid, videamus quid futurum sit.","Edad, dic aliquid, videamus quid futurum sit."
5db1b944-4b07-4298-97d1-6f41dc9ba517,_____Multiple01 Choice [1],Ti preferivo nel Gladiatore.,I preferred you in Gladiator.,Ego te in Gladiatore praetuli.,Ego te en Gladiator praetuli.
03dbd383-f4db-4d6f-9dd8-f7744782458e,_____Multiple01 Choice [2],Tuo figlio sarà molto antipatico.,Your son will be very unpleasant.,Filius tuus valde ingratus erit.,Filius tuus valde ingratus erit.
27933e32-9811-4b0c-a8fa-43936bb65d90,_____Multiple01 Choice [3],Trovo che ci sia freschino qui.,I find it cool here.,Hic invenio frigus.,Hic invenio frigus.
0db6a88d-8d42-4ca6-81b8-d4079588b8e1,Single01,Avresti dovuto scegliere degli sprite più adatti.,You should have chosen more suitable sprites.,Mentes aptius elegisses.,Mentes aptius elegisses.
4ddb781b-60b8-4255-860c-7173e59fcd7d,_____Single01 Choice [1],Hai ragione.,You are right.,Recte dicis.,Línea recta.
6e3495ab-a96f-4478-9209-4dc97056a412,Single02,"Senti, prova a giocare un poco con le schermate e vedi se c'è qualche
bug. Ma ricorda, se tornerai al menù principale ci scorderemo tutti quello
che ci siamo detti.","Look, try playing with the screens a little and see if there are any
bugs. But remember, if you go back to the main menu we will all forget about that
what we said to each other.","Vide, experire ludere cum pluteis paululum et vide an quae sint
cimices. Sed memento, si ad tabulam principalem reverteris, omnes de illo obliviscemur
quae inter se diximus.","Vio, experire ludere cum pluteis paululum et vide an quae sint
chinches. Como recordatorio, si se invierte la tabla principal, todo quedará olvidado.
quae inter se diximus."
6aae63fa-acd4-4774-8abe-00341b21c57d,_____Single02 Choice [1],Chiaro.,Clear.,Patet.,Patet.
c6d2fbd8-c022-4258-b47a-ea89cc73530b,Start03,Sai che mi sono appena accorto di saper parlare in molte lingue?,Do you know that I just realized that I can speak in many languages?,Scisne me solum sensisse me multis linguis loqui posse?,Scisne me only sensisse me multis linguis loqui ¿poseo?
616110e8-bb8e-45ff-bfb7-3781fd075da5,_____Start03 Choice [1],Ho notato si.,I noticed yes.,Etiam animadverti.,Etiam animadverti.
3f1b8ae9-ed34-48d0-abf5-73377fe9f78e,BadEndSingle,"Mi spiace molto mio caro, sei riuscito nella difficile implresa di infastidirci tutti,
come contentino la demo comunque finirà per te.","I'm very sorry my dear, you managed the difficult task of annoying us all,
as a sop the demo will end up for you anyway.","Doleo mi admodum, difficultatem gessisti nobis omnibus molestis;
ut a summo demo pro te usquam finietur.","Doleo mi admodum, dificultadatem gessisti nobis omnibus molestis;
ut a summo demo pro te usquam finietur."
8c319a07-611f-4a30-83aa-ec76f15031fb,_____BadEndSingle Choice [1],Ma io sono giapponese.,But I'm Japanese.,Sed Iaponica sum.,Sed Iaponica suma.
5b265223-5937-4b02-a1da-76db0e108753,Multiple02,"Dimmi vuoi che provi a vedere se il codice ti lascia sbloccare il mio dialogo
finale?","Tell me do you want me to try to see if the code lets you unlock my dialogue
final?","Dic mihi vis experior ut videam si codicem permittit tibi reserare meum dialogum
finalis?","Dec mihi vis experior ut videam si codicem permittit tibi reserare meum dialogum
finales?"
8d45d5fb-55ad-4eba-9861-6a06543a27e1,_____Multiple02 Choice [1],Si.,Yes.,Ita.,Ing.
26fc3452-8b4f-46c8-88f0-6a6124f0458f,_____Multiple02 Choice [2],No.,No.,Nec.,Comité ejecutivo nacional.
7a8a10d6-7bfa-4e37-9220-93d8e3445163,FinalSingle,"Splendido caro mio, ti posso solo dire che ci sono molti altri di noi al di fuori del
limite della telecamera. Molte belle donne, ma purtroppo questa è la demo e non
puoi goder di tutto ciò. Prova a passare più tardi, magari alla prossima release si potrà.
Ah e comunque complimenti.","Wonderful my dear, I can only tell you that there are many more of us outside the
camera limit. Many beautiful women, but unfortunately this is the demo and not
you can enjoy all this. Try to stop by later, maybe the next release will be possible.
Oh and congratulations anyway.","Mirum mi, tantum tibi dicere possum quod extra thema plura ex nobis sunt
stricto locus Multae feminae pulchrae, sed proh dolor haec est demo et not
his omnibus frui potes. Conare postea desinere, fortasse altera missio poterit esse.
o et gratulor usquam.","Mirum mi, Once tibi dicere possum quod extra thema plura ex nobis sunt
estricto locus Multae feminae pulchrae, sed proh dolor haec est demo et not
Se puede disfrutar de su ómnibus. Conare postea desinere, fortisse alter missio los alimenta.
o et gratulor usquam."
b48e6db3-a6a8-41f1-9eed-c5bcae96ac0c,_____FinalSingle Choice [1],Grazie.,Thank you.,Gratias agimus tibi.,Gratias agimus tibi.
2d23df5e-19c2-431a-950d-c00c9a8e00db,Multiple03,"Mi sembra giusto, vediamo un poco quali scelte hai a disposizione.","It seems fair to me, let's see what choices you have available.","Pulchrum mihi videtur, videamus quid in promptu habes electiones.","Pulchrum mihi videtur, videamus quid in Promptu Habes Elections."
1b963e79-6efd-454e-8a70-63ed6de7fe91,_____Multiple03 Choice [1],Spiegami il gioco.,Explain the game to me.,Ludum mihi expedi.,Ludum mihi expedi.
fe794f0d-3bca-4a97-988b-9d0884ae3215,_____Multiple03 Choice [2],Cosa ti aspetti dal futuro?,What do you expect from the future?,Quid de futuro exspectas?,¿Cuáles son las expectativas futuras?
56f645fd-a82b-4309-ab65-f1b94f1ba3f1,_____Multiple03 Choice [3],Hai mai pensato di fare l'usciere?,Have you ever thought about being an usher?,Have vos umquam de ente praeconem cogitasti?,¿Alguna vez has pensado en algo?
95b1ed9d-f329-49ed-8417-417ecdc41ed4,_____Multiple03 Choice [4],I tuoi colleghi sono noiosi.,Your colleagues are boring.,Collegi tui taedet.,Colegios tui taedet.
91a875ac-2259-4e3a-a09b-cf6527d4e048,Single03,"Semplice. Non offendere nessuno, aumenta la tua gravitas e compiaci uno di noi. Poi quando
ti senti pronto vai a farti giudicare da qualcuno di noi.","Simple. Don't offend anyone, increase your gravitas and please one of us. Then when
you feel ready go and be judged by one of us.","Simplex. Ne aliquem offendas, auge tuam gravitas et placeat nostrum. tum cum
ire sentis et iudicari per unum nostrum.","Simplex. No nos ofendas, aumenta tu seriedad y complacenos. cum
ire sentis et iudicari per unum nostrum."
cef63965-efd8-4ee6-8711-221b5fd8a336,_____Single03 Choice [1],Grazie.,Thank you.,Gratias agimus tibi.,Gratias agimus tibi.
10fc6b8f-c808-4384-a5c1-3e6717b4c4af,Event01,"Lascia stare, vedo che sei corso subito da me, grazie mille. Guarda che begli sprite che ho.
Ti aumento leggermente la gravitas ed il rapporto con me, inizi bene.","Forget it, I see you ran to me straight away, thank you very much. Look at the beautiful sprites I have.
I slightly increase your gravitas and relationship with me, you start off well.","Oblivisci, video te continuo ad me cucurrit, tibi valde gratias. Aspice pulchras mentes quas habeo.
Ego tuam gravitatem ac necessitudinem mecum paulo augeo, bene incipio.","Oblivise, vídeo me sigues cucurrit, obtienes valor gratis. Aspice pulchras mentes quas habeo.
Ego tuam gravitatem ac necessitudinem mecum paulo augeo, bene incipio."
99a57de8-3f94-4f9b-b364-2ac59f4f065c,_____Event01 Choice [1],Non sto capendo.,I'm not understanding.,Non sum intellectus.,Non sum intellectus.
5afa46ce-7c27-4995-9408-4cd8164ba4d1,Event02,"Non fa nulla se sei venuto da me solo ora, l'importante è che non sia ancora crushato niente.
Tieni un poco di influenza per aiutarti.","It doesn't matter if you've only come to me now, the important thing is that nothing's broken yet.
Have a little influence to help you.","Non refert si modo ad me venias, refert tamen nihil fractum esse.
Modicum iuvare te vim.","No denuncien de esta manera ad me venias, denúncien tamen nihil fractum esse.
Modicum iuvare te vim."
d274e000-a9d9-432d-abae-a7ab57443a4a,_____Event02 Choice [1],Cosa?,What?,Quid?,¿Libra?
6c78a0c7-6f53-45fc-9772-025a347d6558,Event03,Mi pagarono molto di più per partecipare.,They paid me a lot more to participate.,Multum mihi dederunt ut participent.,Multum mihi dederunt ut participante.
d29d7bf2-186c-46f2-9f95-66ba1090adca,_____Event03 Choice [1],Chiaro.,Clear.,Patet.,Patet.
a19c5968-97b2-41df-a064-3c777bd3f5b9,Event04,"Su questo posso darti ragione, in pochi me lo dicono, sei coraggioso.","I can agree with you about this, few people tell me, you are brave.","De hoc tibi assentiri possum, pauci mihi narrant te fortes esse.","De hoc tibi assentiri possum, pauci mihi narrant te fortes esse."
013228cb-d7dc-4648-aeb6-5f7da8496481,_____Event04 Choice [1],Ti ringrazio.,I thank you.,Gratias tibi ago.,Hace gracias tibi.
737c310a-9235-4cd5-b8e4-b5fb5a055970,EndEvent,Fine della demo.,End of the demo.,Finis demo.,Demostración final.
95bc3705-98c1-4197-8cc1-a38f9791fd3a,_____EndEvent Choice [1],Bene.,Well.,Bene.,Bien.
