Guid ID,Dialogue/Choice Name,Italian,English,Latin,Spanish
2a3bfed7-8f2c-4acc-aa00-6e7092274a60,DialogoIniziale,"Dialogo iniziale testo.","Start Dialogue Text","Start Dialogue Text","Start Dialogue Text"
69931b78-5224-4d54-8348-5bbccca7d425,_____DialogoIniziale Choice [1],"Scelta iniziale","Starting Choice","Starting Choice","Starting Choice"
dbd38cbb-e5e2-40f6-83ae-6e814411f7c3,Iniziale2,"Secondo dialogo iniziale testo","Start Dialogue Text","Start Dialogue Text","Start Dialogue Text"
8a12c206-6f4b-4519-b2b0-a6732c76f029,_____Iniziale2 Choice [1],"Seconda scelta iniziale","Starting Choice","Starting Choice","Starting Choice"
8721d167-0127-4a5c-8c6e-04993053dbab,Sceltamultipla,"Multiple Dialogue Text","Multiple Dialogue Text","Multiple Dialogue Text","Multiple Dialogue Text"
dbfc432d-5ff3-4811-b656-6b1c50fb095d,_____Sceltamultipla Choice [1],"New Choice 1","New Choice 1","New Choice 1","New Choice 1"
f512fb6f-82f0-4ada-bb1e-e2abec88c4d8,_____Sceltamultipla Choice [2],"New choice 2","New choice 2","New choice 2","New choice 2"
89343fff-93af-4f91-80de-bea6b057dd3f,2,"Single Dialogue 2","Single Dialogue Text","Single Dialogue Text","Single Dialogue Text"
c348548b-4f33-40dd-9be0-33ffb9ad8e78,_____2 Choice [1],"Next Single Choice","Next Single Choice","Next Single Choice","Next Single Choice"
5a127634-c0dd-4d32-8fc4-323ed2c5c182,3,"3333","Single Dialogue Text","Single Dialogue Text","Single Dialogue Text"
f95fef7a-df3a-4b1a-a9bc-71b099b87ad0,_____3 Choice [1],"Next Single Choice","Next Single Choice","Next Single Choice","Next Single Choice"
f5f97b73-5d04-4760-b235-1ea7436acc01,End1,"End Dialogue Text","End Dialogue Text","End Dialogue Text","End Dialogue Text"
6b82e84c-94f7-449f-a817-b1d49a724722,End2,"End Dialogue Text","End Dialogue Text","End Dialogue Text","End Dialogue Text"
